Sources,Max_Capacity_MW,Investment_per_MW,O&M_per_MW_yr,Lifetime,CO2_per_MWh,Fuel_Cost,Efficiency,Merit_Order,Storage_MWh
Wind,100,25650000000,817000000,25,0,0,1,1,0
Solar,200,14250000000,285000000,25,0,0,1,1,0
Biomass,100,53200000000,1805000000,25,0.03,144000,0.3,2,0
Biogas,5,41800000000,1520000000,20,0.05,80000,0.38,2,0
Geothermal,150,85500000000,1900000000,30,0.04,0,1,1,0
Hydro,10,47500000000,760000000,40,0,0,1,1,0
WTE,3,1.235E+11,3800000000,25,0.3,0,0.25,2,0
BESS,50,4750000000,228000000,15,0,0,0.93,3,2850000000
PHS,10,28500000000,380000000,50,0,0,0.87,3,570000000
Hydrogen,100,34200000000,950000000,20,0,0,0.35,3,285000000
Natural Gas,100,13300000000,380000000,25,0.49,601000,0.38,4,0
Biodiesel,100,16150000000,532000000,25,0.08,1650000,0.36,4,0
